venta_id,fecha,producto_id,cantidad,canal
1,2025-09-01,3,6,Tienda
2,2025-09-01,14,2,Tienda
3,2025-09-01,2,6,Tienda
4,2025-09-01,15,4,Mayorista
5,2025-09-01,11,1,Tienda
6,2025-09-01,6,7,Tienda
7,2025-09-01,4,3,Online
8,2025-09-01,18,1,Tienda
9,2025-09-01,6,2,Online
10,2025-09-01,28,5,Online
11,2025-09-01,18,3,Mayorista
12,2025-09-01,12,1,Tienda
13,2025-09-01,18,2,Tienda
14,2025-09-01,2,1,Tienda
15,2025-09-01,29,3,Online
16,2025-09-01,15,6,Tienda
17,2025-09-01,25,2,Tienda
18,2025-09-01,3,7,Tienda
19,2025-09-01,15,7,Mayorista
20,2025-09-01,15,2,Tienda
21,2025-09-01,29,4,Tienda
22,2025-09-01,17,1,Mayorista
23,2025-09-01,15,2,Online
24,2025-09-02,24,7,Tienda
25,2025-09-02,20,1,Tienda
26,2025-09-02,12,5,Tienda
27,2025-09-02,4,7,Tienda
28,2025-09-02,24,5,Tienda
29,2025-09-02,10,7,Online
30,2025-09-02,29,6,Online
31,2025-09-02,10,6,Tienda
32,2025-09-02,5,1,Mayorista
33,2025-09-02,26,1,Tienda
34,2025-09-02,6,3,Tienda
35,2025-09-02,7,4,Mayorista
36,2025-09-02,18,5,Tienda
37,2025-09-02,27,7,Tienda
38,2025-09-02,7,7,Tienda
39,2025-09-02,11,2,Tienda
40,2025-09-02,25,5,Tienda
41,2025-09-02,30,6,Mayorista
42,2025-09-02,15,3,Tienda
43,2025-09-02,6,2,Online
44,2025-09-02,1,7,Tienda
45,2025-09-02,10,5,Tienda
46,2025-09-03,16,6,Tienda
47,2025-09-03,19,5,Tienda
48,2025-09-03,27,1,Tienda
49,2025-09-03,19,4,Online
50,2025-09-03,14,5,Tienda
51,2025-09-03,12,6,Tienda
52,2025-09-03,14,3,Mayorista
53,2025-09-03,20,6,Tienda
54,2025-09-03,27,6,Tienda
55,2025-09-03,14,7,Tienda
56,2025-09-03,10,2,Tienda
57,2025-09-03,10,7,Tienda
58,2025-09-03,24,3,Tienda
59,2025-09-03,26,7,Tienda
60,2025-09-03,4,4,Mayorista
61,2025-09-03,3,1,Mayorista
62,2025-09-03,18,1,Tienda
63,2025-09-03,6,6,Mayorista
64,2025-09-03,26,6,Mayorista
65,2025-09-03,11,3,Online
66,2025-09-03,6,6,Online
67,2025-09-03,28,5,Tienda
68,2025-09-03,6,6,Tienda
69,2025-09-03,10,3,Mayorista
70,2025-09-03,6,4,Tienda
71,2025-09-03,5,6,Online
72,2025-09-04,15,3,Online
73,2025-09-04,14,1,Online
74,2025-09-04,10,3,Tienda
75,2025-09-04,12,5,Mayorista
76,2025-09-04,12,5,Tienda
77,2025-09-04,11,7,Tienda
78,2025-09-04,12,5,Online
79,2025-09-04,21,5,Mayorista
80,2025-09-04,11,1,Tienda
81,2025-09-04,29,7,Online
82,2025-09-04,28,7,Tienda
83,2025-09-04,15,4,Online
84,2025-09-04,11,6,Mayorista
85,2025-09-04,16,1,Tienda
86,2025-09-04,27,2,Tienda
87,2025-09-04,20,4,Tienda
88,2025-09-04,26,5,Tienda
89,2025-09-04,16,1,Tienda
90,2025-09-05,26,5,Online
91,2025-09-05,15,2,Mayorista
92,2025-09-05,18,4,Online
93,2025-09-05,28,5,Tienda
94,2025-09-05,5,4,Mayorista
95,2025-09-05,5,1,Mayorista
96,2025-09-05,3,6,Tienda
97,2025-09-05,20,2,Online
98,2025-09-05,14,6,Tienda
99,2025-09-05,24,4,Online
100,2025-09-05,21,5,Tienda
101,2025-09-05,11,1,Mayorista
102,2025-09-05,28,4,Tienda
103,2025-09-05,24,7,Tienda
104,2025-09-05,10,4,Tienda
105,2025-09-05,12,4,Online
106,2025-09-05,11,7,Tienda
107,2025-09-05,6,3,Mayorista
108,2025-09-05,6,7,Tienda
109,2025-09-05,29,6,Tienda
110,2025-09-05,14,6,Mayorista
111,2025-09-05,13,1,Online
112,2025-09-06,7,5,Online
113,2025-09-06,28,1,Tienda
114,2025-09-06,20,6,Online
115,2025-09-06,2,1,Tienda
116,2025-09-06,1,2,Online
117,2025-09-06,2,4,Tienda
118,2025-09-06,19,7,Tienda
119,2025-09-06,26,1,Tienda
120,2025-09-06,10,5,Mayorista
121,2025-09-06,27,4,Tienda
122,2025-09-06,2,5,Tienda
123,2025-09-06,26,6,Mayorista
124,2025-09-06,28,2,Tienda
125,2025-09-06,24,4,Online
126,2025-09-06,22,6,Tienda
127,2025-09-06,26,4,Mayorista
128,2025-09-06,2,2,Tienda
129,2025-09-06,7,3,Online
130,2025-09-06,5,5,Online
131,2025-09-06,15,4,Tienda
132,2025-09-06,24,7,Tienda
133,2025-09-07,5,4,Tienda
134,2025-09-07,5,3,Online
135,2025-09-07,10,4,Mayorista
136,2025-09-07,11,7,Tienda
137,2025-09-07,14,6,Online
138,2025-09-07,19,4,Tienda
139,2025-09-07,20,4,Tienda
140,2025-09-07,14,6,Tienda
141,2025-09-07,14,1,Mayorista
142,2025-09-07,9,1,Tienda
143,2025-09-07,18,1,Tienda
144,2025-09-07,11,2,Tienda
145,2025-09-07,2,6,Online
146,2025-09-07,14,3,Tienda
147,2025-09-07,15,4,Mayorista
148,2025-09-07,9,6,Tienda
149,2025-09-07,17,5,Tienda
150,2025-09-07,17,2,Tienda
151,2025-09-07,22,4,Mayorista
152,2025-09-07,20,3,Mayorista
153,2025-09-07,20,4,Tienda
154,2025-09-07,11,6,Online
155,2025-09-07,25,2,Tienda
156,2025-09-07,17,5,Online
157,2025-09-07,14,3,Tienda
158,2025-09-07,20,1,Tienda
159,2025-09-08,26,2,Tienda
160,2025-09-08,30,3,Tienda
161,2025-09-08,17,6,Tienda
162,2025-09-08,26,4,Tienda
163,2025-09-08,30,6,Online
164,2025-09-08,6,6,Online
165,2025-09-08,14,3,Online
166,2025-09-08,13,5,Tienda
167,2025-09-08,3,6,Tienda
168,2025-09-08,24,3,Tienda
169,2025-09-08,14,7,Tienda
170,2025-09-08,15,6,Online
171,2025-09-08,6,5,Tienda
172,2025-09-08,7,6,Mayorista
173,2025-09-08,28,3,Mayorista
174,2025-09-08,2,5,Tienda
175,2025-09-08,10,5,Tienda
176,2025-09-09,28,4,Online
